benchmark,run,result
quadratic,baseline,785
quadratic,lvn,735
montgomery,baseline,17
montgomery,lvn,17
primes-between,baseline,574100
primes-between,lvn,574100
mod_pow,baseline,243
mod_pow,lvn,incorrect
orders,baseline,5352
orders,lvn,5352
sum-check,baseline,5018
sum-check,lvn,5018
palindrome,baseline,298
palindrome,lvn,298
rot13,baseline,8
rot13,lvn,8
totient,baseline,253
totient,lvn,253
fib_recursive,baseline,2693
fib_recursive,lvn,2605
relative-primes,baseline,1923
relative-primes,lvn,1848
hanoi,baseline,99
hanoi,lvn,99
is-decreasing,baseline,127
is-decreasing,lvn,121
check-primes,baseline,8468
check-primes,lvn,7721
sum-sq-diff,baseline,3038
sum-sq-diff,lvn,2734
fitsinside,baseline,10
fitsinside,lvn,10
hamming,baseline,117
hamming,lvn,117
fact,baseline,229
fact,lvn,208
loopfact,baseline,116
loopfact,lvn,107
recfact,baseline,104
recfact,lvn,96
geometric-sum,baseline,35
geometric-sum,lvn,35
factors,baseline,72
factors,lvn,72
perfect,baseline,232
perfect,lvn,232
binpow,baseline,105
binpow,lvn,105
bitshift,baseline,167
bitshift,lvn,149
digital-root,baseline,247
digital-root,lvn,247
up-arrow,baseline,252
up-arrow,lvn,252
mccarthy91,baseline,1385
mccarthy91,lvn,1385
sum-divisors,baseline,159
sum-divisors,lvn,159
permutation,baseline,130
permutation,lvn,122
combination,baseline,178
combination,lvn,178
bin-search,baseline,358
bin-search,lvn,355
ackermann,baseline,1464231
ackermann,lvn,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,lvn,61518
gebmm,baseline,3011
gebmm,lvn,3011
euclid,baseline,563
euclid,lvn,497
bbs,baseline,137
bbs,lvn,137
sum-of-cubes,baseline,8
sum-of-cubes,lvn,8
binary-fmt,baseline,100
binary-fmt,lvn,100
dayofweek,baseline,269
dayofweek,lvn,241
lcm,baseline,2326
lcm,lvn,2326
gcd,baseline,46
gcd,lvn,46
catalan,baseline,659378
catalan,lvn,659378
armstrong,baseline,133
armstrong,lvn,130
pascals-row,baseline,146
pascals-row,lvn,123
collatz,baseline,169
collatz,lvn,169
sum-bits,baseline,73
sum-bits,lvn,73
sqrt_bin_search,baseline,744
sqrt_bin_search,lvn,693
rectangles-area-difference,baseline,14
rectangles-area-difference,lvn,14
mod_inv,baseline,558
mod_inv,lvn,470
karatsuba,baseline,1548
karatsuba,lvn,1548
reverse,baseline,46
reverse,lvn,46
fizz-buzz,baseline,3652
fizz-buzz,lvn,3052
bitwise-ops,baseline,1690
bitwise-ops,lvn,1689
sum-digits,baseline,219
sum-digits,lvn,188
delannoy,baseline,5748752
delannoy,lvn,5615886
